Ciclo,EDAD,SEXO,Comida_día,Desayuno_Semana,Almuerzo_Semana,Cena_Semana,Lugar_Desayuno,Lugar_Almuerzo,Lugar_Cena,TV_Desayuno,TV_Almuerzo,TV_Cena,Sal_Agreg,Cons_Cigarros,Cons_Alcochol,Cons_Agua,Modo_Cons,Cant_Botellas,Cant_Vasos,Frec_Hamburguesa,Frec_Broaster,Frec_Salchipapa,Frec_Snack,Frec_Galletas,Frec_Gaseosa,Frec_JugosCaja,Frec_Lacteos,Frec_Huevo,Frec_Carnes,Cons_CarnesyDeriv,Frec_CarnesyDeriv,Cons_Legumbres,Frec_Legumbres,Con_Cereales,Frec_Cereales,Cons_Harinas,Frec_Harinas,Cons_Tuberculo,Frec_Tuberculos,Cons_Azucar,Frec_Azucar,Con_Frutas,Frec_Frutas,Cons_Verduras,Frec_Verduras,Cons_Grasa,Frec_Grasa,SUM_HAB,Clasif_Hab,Mesientocalmado,Mesientoseguro,Estoytenso,Estoycontrariadocohibidodescontento,Mesientocómodoestoyagusto,Mesientoalterado,Estoypreocupadoahoraporposiblesdesgraciasfuturas,Mesientodescansado,Mesientoangustiado,Mesientoconfortable,Tengoconfianzaenmimismo,Mesientonervioso,Estoydesasosegadointranquiloinquieto,Mesientomuy“atado”comooprimido,Estoyrelajado,Mesientosatisfecho,Estoypreocupado,Mesientoaturdidoysobreexcitado,Mesientoalegre,Enestemomentomesientobien,Mesientobien,Mecansorápidamente,Sientoganasdellorar,Megustaríasertanfelizcomootros,Pierdooportunidadespornodecidirirmepronto,Mesientodescansado_A,Soyunapersonatranquilaserenasosegada,Veoquelasdificultadesseamontonanynopuedoconellas,Mepreocupodemasiadoporcosassinimportancia,Soyfeliz,Suelotomarlascosasdemasiadoseriamente,Mefaltaconfianzaenmímismo,Mesientoseguro_A,Nosueloafrontarlascrisisodificultades,Mesientotristemelancólico,Estoysatisfecho,Merondanymolestanpensamientossinimportancia,Meafectantantolosdesengañosquenopuedoolvidarlos,Soyunapersonaestable,Cuandopiensosobreasuntosyeocupacionesactualesmepongotensoyagitad,Clasif_Ansiedad
8,1,1,2,4,4,4,4,4,4,1,2,3,1,1,1,1,0,0,1,3,3,4,3,2,3,3,1,2,3,1,3,1,2,1,2,1,3,1,2,1,1,1,4,1,3,1,3,86,3,3,3,0,0,3,0,1,3,0,3,3,0,0,0,3,3,0,0,2,2,3,0,0,0,1,3,3,1,1,3,2,0,3,1,1,3,0,0,3,1,1
4,1,1,2,3,4,3,4,4,1,2,2,3,1,1,0,1,0,0,1,3,3,4,4,4,3,4,2,2,3,1,3,1,3,1,2,1,3,1,2,1,2,1,2,1,3,1,3,86,3,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,3,1,3,3,2,1,0,0,1,1,1,1,1,3,2,3,2,2,0,0,0,2,3,3,1
2,1,1,2,4,4,4,4,4,4,2,1,1,1,1,1,1,0,0,0,4,4,4,3,3,4,4,3,2,2,1,2,1,2,1,2,1,1,1,3,1,1,1,4,1,3,1,3,87,3,2,1,1,1,2,0,0,2,1,2,2,1,0,1,2,2,1,0,2,2,3,0,1,3,0,2,3,0,0,3,3,1,3,1,0,3,1,0,3,1,1
4,1,0,2,4,4,3,4,4,4,2,2,2,1,1,2,1,0,0,1,3,3,3,3,3,3,3,2,2,2,1,3,1,2,1,4,1,2,1,3,1,1,1,3,1,3,1,3,87,3,2,2,0,0,3,0,0,2,0,2,2,1,0,0,2,2,0,0,2,2,3,1,0,3,0,3,2,3,0,3,2,1,2,1,0,3,0,0,2,0,1
10,2,1,2,3,4,4,4,4,4,1,1,1,0,1,1,1,0,0,2,3,4,4,4,4,4,4,2,2,3,1,3,1,2,1,2,1,3,1,2,0,3,1,2,1,2,1,3,88,3,1,1,1,0,3,0,1,3,0,3,2,2,0,0,1,1,1,1,1,1,2,2,1,0,1,1,2,1,1,2,3,1,1,2,1,3,2,0,3,1,1
10,1,0,2,4,4,4,4,4,4,3,3,3,1,1,1,1,0,0,1,3,3,4,2,2,3,3,3,2,3,1,3,1,2,1,3,1,2,1,3,1,1,1,3,1,2,1,2,88,3,1,2,1,1,2,1,1,0,1,1,2,1,1,1,1,2,1,1,3,1,1,0,1,2,1,1,3,1,1,1,3,1,3,2,2,2,1,1,2,1,1
5,1,0,2,4,4,3,4,4,4,1,1,1,0,1,1,1,0,0,2,4,4,3,3,3,4,3,2,2,0,0,4,1,3,1,4,1,1,1,4,1,3,1,3,1,3,0,4,89,3,2,2,2,1,2,1,1,1,1,2,3,1,1,1,1,2,1,1,3,1,2,1,1,1,0,1,2,0,0,1,1,0,1,0,1,2,1,0,3,1,0
5,2,1,2,4,4,4,1,4,4,3,3,3,1,1,1,1,1,2,1,4,3,4,4,4,2,4,2,2,3,1,2,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,3,89,3,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,3,1,1,0,1,2,1,0,2,2,1,1,0,1,2,1,1,2,0,1
8,1,1,2,2,4,3,4,4,4,3,3,2,1,1,0,1,0,2,1,3,3,3,4,3,3,3,2,2,3,1,3,1,3,1,4,1,3,1,2,1,3,1,3,1,2,0,4,90,3,1,0,3,3,0,3,3,0,3,0,0,3,3,3,0,0,2,2,0,0,1,1,2,2,1,1,2,2,0,1,1,1,1,1,2,1,1,1,1,2,1
7,3,1,3,4,4,4,4,4,4,3,3,1,0,1,1,1,0,0,2,4,4,4,4,3,3,4,2,2,2,1,3,1,2,1,2,1,3,1,2,0,3,1,2,1,0,0,3,90,3,2,2,0,0,2,0,0,2,0,2,2,0,0,0,2,2,0,0,3,3,3,0,0,0,0,3,3,1,0,3,3,0,3,0,0,3,0,0,3,1,0
10,2,0,2,4,4,4,1,1,1,4,4,4,1,1,0,1,0,0,1,3,3,3,4,3,3,4,2,3,3,1,3,1,3,1,4,1,2,1,3,0,4,1,4,1,3,1,1,90,3,1,1,2,1,1,1,2,0,1,1,1,2,1,2,0,1,1,1,1,1,1,2,1,3,2,0,1,2,2,1,3,2,1,2,2,1,2,3,1,2,1
7,3,0,3,4,4,4,1,1,4,4,2,1,1,1,0,1,0,4,2,4,4,4,3,3,4,4,2,4,3,1,3,1,3,1,4,1,1,1,2,1,1,1,4,1,4,1,1,90,3,1,1,2,2,1,1,3,1,2,1,1,3,3,3,1,1,2,3,1,1,1,2,2,3,2,2,2,2,3,1,3,3,1,2,3,1,3,2,2,3,1
6,1,1,3,3,4,4,4,4,4,2,2,2,1,1,1,1,0,0,1,4,3,3,3,3,4,4,2,3,3,1,2,1,2,1,3,1,2,1,3,1,2,1,3,1,3,1,2,90,3,1,2,1,1,2,1,1,1,1,2,2,1,1,0,2,2,1,0,2,3,2,1,0,0,2,2,2,1,1,3,3,0,2,0,1,3,1,3,3,2,1
10,1,1,2,4,4,3,4,4,4,2,2,2,1,1,0,1,1,1,1,3,4,3,4,4,3,4,3,2,3,1,3,1,3,1,3,1,3,1,2,1,1,1,3,1,3,1,3,91,3,2,2,0,0,3,0,0,2,0,2,3,0,0,0,2,2,0,0,2,2,3,0,0,0,1,2,3,0,2,3,3,0,3,1,0,3,0,2,3,0,1
9,2,0,3,3,4,4,4,4,4,2,2,2,1,1,0,1,0,0,1,3,3,4,3,4,4,4,2,3,2,1,3,1,3,1,3,1,2,1,3,1,2,1,3,1,3,1,2,91,3,1,1,2,2,1,0,3,2,2,1,1,2,2,2,1,1,0,1,1,1,1,2,1,1,1,2,3,2,0,1,2,3,0,2,2,1,1,0,1,1,1
8,1,1,2,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,0,4,4,4,3,3,4,4,3,3,3,1,2,1,2,1,4,1,3,1,3,1,3,1,2,1,3,1,2,91,3,3,3,0,0,2,0,0,2,0,2,3,0,0,0,2,1,0,0,3,3,2,0,1,0,0,2,2,0,0,3,2,0,2,0,0,3,0,0,3,0,0
5,1,1,2,4,4,4,4,4,4,3,2,2,1,1,1,1,0,0,1,3,3,3,3,3,3,4,2,2,3,1,3,1,2,1,4,1,2,1,3,1,3,1,2,1,3,1,3,91,3,1,1,1,0,1,1,0,0,1,1,2,0,0,0,1,1,1,0,1,1,2,0,0,0,1,1,1,0,0,2,1,1,2,2,0,2,0,0,3,1,0
8,1,1,2,4,4,4,4,4,4,2,3,3,1,1,1,1,1,1,1,3,3,4,3,4,3,4,2,2,2,1,3,1,2,1,4,1,2,1,3,1,1,1,3,1,3,1,3,92,3,1,1,2,1,1,3,3,2,2,1,2,1,3,2,1,1,2,2,2,3,2,1,3,3,2,3,3,2,2,3,2,2,2,3,1,2,2,2,1,2,1
4,1,1,2,4,4,4,4,4,4,3,2,3,1,1,1,1,0,0,0,4,3,4,3,4,3,4,3,4,2,0,4,1,2,1,4,1,1,1,4,1,1,0,0,1,4,1,1,92,3,1,3,3,1,1,1,3,1,2,1,2,1,1,0,1,1,1,1,2,3,2,1,1,0,1,1,3,0,1,3,2,0,3,0,1,3,1,0,3,0,1
5,1,1,1,3,4,3,4,4,4,1,1,1,1,0,2,1,0,0,1,4,4,4,4,4,4,4,2,3,3,0,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,92,3,3,3,1,0,3,0,1,1,0,2,3,1,0,0,3,3,1,0,2,2,3,0,1,1,1,2,3,0,0,3,3,2,3,0,0,3,0,0,3,0,1
10,1,0,3,3,4,4,4,4,4,2,3,2,1,1,0,1,0,0,0,4,4,4,4,3,3,4,3,3,3,1,2,1,2,1,4,1,1,1,3,1,2,1,3,1,3,1,3,93,3,2,1,1,1,2,1,1,1,1,2,1,1,1,0,2,2,1,1,3,2,1,1,1,2,1,0,1,1,1,2,1,2,1,1,1,1,3,1,1,2,1
10,1,0,2,4,4,4,4,1,4,3,4,1,1,0,0,1,1,2,1,3,4,4,4,4,3,4,3,4,3,1,3,1,3,1,4,1,1,1,2,1,3,1,3,1,2,1,3,93,3,2,3,1,1,3,0,0,1,0,3,3,0,0,0,2,3,0,0,3,2,3,0,0,0,0,0,3,0,0,3,3,0,3,0,0,3,0,0,2,0,0
8,1,0,2,3,4,3,4,1,3,3,3,4,1,1,1,1,0,4,1,3,3,4,3,3,4,3,3,4,4,1,3,1,3,1,4,1,1,1,3,1,2,1,3,1,3,1,3,93,3,2,2,1,0,2,0,0,1,0,2,2,0,0,1,1,1,1,0,3,3,2,1,0,0,1,1,2,0,0,2,2,1,2,0,0,1,0,0,2,0,1
8,2,0,2,4,4,4,4,4,4,4,4,4,1,1,0,1,1,2,1,3,4,4,3,3,3,4,0,2,3,1,2,1,2,1,4,1,1,1,4,1,1,1,2,1,3,0,4,93,3,0,0,2,3,0,1,3,1,1,1,1,1,2,1,0,0,3,1,1,0,0,2,3,3,1,0,2,3,3,1,1,3,1,0,2,0,1,0,2,3,1
8,2,1,2,4,4,4,4,4,4,3,3,3,1,1,1,1,0,0,1,3,3,4,3,3,3,4,3,2,4,1,3,1,2,1,4,1,1,1,4,1,1,1,3,1,3,1,1,93,3,1,1,3,3,1,3,1,1,3,1,1,3,3,3,1,1,2,2,1,1,1,1,2,0,1,1,1,1,0,2,2,0,3,0,2,1,1,1,1,3,1
8,1,1,2,3,4,3,4,4,4,2,2,2,2,1,0,1,0,0,1,3,4,4,3,3,4,4,3,3,2,1,2,1,2,1,4,1,1,1,3,1,3,1,4,1,4,1,3,93,3,2,1,0,0,2,0,1,1,1,2,2,0,0,0,2,2,1,0,3,2,2,1,1,0,1,1,3,0,1,3,2,1,2,0,1,3,1,0,2,0,0
1,2,0,2,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,2,3,3,4,3,4,3,4,3,4,3,1,3,1,2,1,4,1,1,1,3,1,2,1,3,1,4,1,3,93,3,2,2,1,1,2,0,1,1,1,2,2,1,1,1,1,2,1,1,1,3,1,0,1,2,1,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1
9,3,1,2,4,4,4,4,4,4,1,2,1,1,1,0,1,0,0,1,4,3,4,4,4,3,4,3,4,3,1,3,1,2,1,3,1,3,1,3,1,1,1,4,1,4,1,2,94,3,1,1,1,1,1,0,1,2,2,1,1,0,1,0,0,1,3,1,0,1,2,0,1,0,0,1,1,0,2,3,3,0,3,0,1,3,1,1,2,1,0
9,2,1,3,4,4,4,4,4,4,2,2,2,1,1,0,1,1,2,0,4,4,3,3,4,4,4,3,2,3,1,3,1,2,1,2,1,3,1,4,1,2,1,3,1,3,1,3,94,3,2,2,1,1,3,0,0,1,0,3,3,0,0,1,2,1,1,0,3,3,3,2,1,0,0,2,2,0,1,3,1,0,0,1,0,1,1,2,2,1,1
8,1,1,2,4,4,4,4,4,4,3,3,3,1,1,1,1,0,0,1,3,3,3,3,3,3,3,3,2,3,1,3,1,2,1,3,1,3,1,3,1,1,1,4,1,4,1,3,94,3,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,3,1,1,2,2,3,3,1,1,1,2,0,1,2,1,1,1,2,1,0,1,1,2,1
8,1,1,2,4,4,4,4,4,4,2,2,2,1,1,1,1,0,0,1,4,4,4,3,3,4,4,3,3,3,1,2,1,2,1,4,1,1,1,4,1,1,1,4,1,4,1,1,94,3,3,2,0,1,2,0,1,1,1,2,2,1,1,0,1,2,2,0,2,2,3,1,0,0,1,1,3,0,1,3,0,1,1,1,0,2,0,0,2,0,0
4,1,0,2,4,4,4,4,4,4,2,2,2,1,1,1,1,0,0,0,4,4,4,4,3,4,3,0,4,3,1,3,1,2,1,4,1,1,1,3,0,4,1,3,1,3,1,3,94,3,1,1,1,0,3,0,2,1,0,1,2,0,3,0,2,2,1,0,3,2,2,1,1,2,0,2,2,1,1,3,3,1,2,1,1,2,1,2,1,0,1
4,1,1,2,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,0,4,4,4,4,4,4,4,2,2,3,1,3,1,3,1,4,1,1,1,3,1,3,1,4,1,2,0,4,94,3,2,2,0,0,2,0,1,2,0,2,2,1,0,0,1,2,1,0,3,3,2,1,0,0,0,2,2,2,0,2,2,0,2,0,0,2,0,0,2,0,0
10,2,1,2,4,4,4,4,4,4,2,2,2,1,1,1,1,0,0,1,3,4,4,3,4,3,3,2,3,3,1,3,1,2,1,4,1,2,1,3,1,3,1,4,1,4,1,2,95,3,3,3,0,0,3,0,0,1,0,2,3,0,0,0,3,3,1,0,3,2,3,0,0,1,1,3,3,0,0,3,2,0,3,0,0,3,0,0,2,0,1
8,1,1,2,4,4,4,4,4,4,3,3,3,1,1,0,1,0,0,1,4,4,4,4,3,4,4,3,3,3,1,2,1,2,1,4,1,1,1,2,1,1,1,3,1,3,1,3,95,3,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,1,2,0,2,1,0,1,1,1,1,1,1,1,1,0,1,2,0
8,2,1,2,4,4,4,4,4,4,4,1,2,1,1,1,1,0,0,0,4,4,3,4,3,4,3,0,2,3,1,2,1,2,1,4,1,3,1,4,1,3,1,4,1,4,1,3,95,3,1,1,2,1,2,1,2,1,1,1,1,3,1,1,2,2,3,3,3,2,2,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,2,1,1,1,1
8,1,1,2,4,4,4,4,4,4,3,3,3,0,1,1,1,0,0,1,4,4,4,3,4,4,4,2,3,3,1,3,1,2,1,4,1,1,1,3,1,1,1,3,1,3,1,2,95,3,3,2,1,0,2,0,0,1,0,2,3,0,0,0,2,3,0,0,2,2,3,0,1,0,0,2,3,0,0,3,2,0,3,0,0,3,0,0,3,0,0
7,1,1,2,4,4,4,4,4,4,4,3,3,1,1,2,1,0,0,0,3,3,3,4,4,3,4,3,3,3,1,3,1,3,1,4,1,2,1,3,1,1,1,1,1,2,1,3,95,3,2,2,1,0,1,0,0,1,0,1,2,0,0,0,3,3,0,0,2,2,3,1,0,1,1,1,1,1,2,3,1,1,1,1,0,2,1,0,2,1,0
5,1,1,2,4,4,2,4,4,4,2,2,4,1,1,1,1,0,3,0,4,4,4,4,4,3,4,4,2,2,0,3,1,3,1,2,1,3,1,2,0,4,1,2,1,3,1,3,95,3,2,2,1,1,1,0,3,2,1,1,1,1,2,1,3,1,3,1,1,2,2,2,1,2,3,2,1,0,3,1,2,3,1,3,1,0,3,1,1,2,1
8,1,1,2,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,0,4,3,4,4,4,3,4,3,4,4,1,3,1,2,1,3,1,3,1,3,0,4,1,3,1,4,1,2,96,3,0,3,2,0,2,1,2,1,1,1,3,1,2,0,1,3,2,1,1,1,3,2,0,0,0,0,1,2,3,3,3,0,3,1,0,3,3,2,1,1,1
10,1,0,2,3,4,4,4,4,4,4,3,4,1,1,0,1,0,1,1,3,3,4,4,3,3,3,2,3,4,1,3,1,3,1,4,1,1,1,2,1,3,1,3,1,3,1,3,96,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,2,2,1
10,1,0,3,4,4,4,4,4,4,3,2,3,1,1,0,1,0,0,2,3,4,3,3,4,3,3,2,4,3,1,3,1,2,1,2,1,3,1,2,1,3,1,4,1,3,1,3,96,3,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,3,3,2,2,1,0,0,1,1,1,0,3,1,0,2,0,1,2,1,1,2,1,1
8,2,0,2,4,4,4,4,4,4,2,1,2,1,1,1,1,0,0,2,4,3,4,4,3,4,4,2,3,3,1,3,1,2,1,4,1,3,1,3,1,3,1,4,1,3,1,1,96,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
10,1,0,2,3,4,4,4,4,4,3,4,3,1,1,0,1,0,0,1,3,3,3,4,4,4,4,2,2,4,0,4,1,2,1,2,1,3,1,3,0,4,1,3,0,0,0,4,96,3,1,1,1,0,2,0,0,0,0,1,2,0,0,0,1,1,0,0,3,3,2,1,0,2,0,0,2,0,1,2,3,2,1,0,1,2,1,1,2,0,0
10,1,1,2,3,4,4,4,4,4,4,3,3,1,1,1,1,0,0,0,4,4,4,3,4,4,3,3,2,4,1,3,1,2,1,4,1,2,1,3,1,1,1,2,1,2,0,4,96,3,1,1,2,2,1,2,1,0,1,1,1,1,2,2,0,1,3,1,1,1,2,1,2,1,2,0,0,1,1,1,1,1,1,1,1,1,2,1,0,1,0
4,1,1,2,3,4,4,4,4,4,3,3,3,0,1,1,1,0,0,1,4,4,4,4,4,3,4,2,2,2,1,3,1,2,1,3,1,3,1,2,1,3,1,4,1,3,1,3,96,3,1,2,1,1,1,1,3,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2,1,0,3,1,3,1,3,1,1,1,1,1,2,1,1,3,0
4,1,1,2,2,4,4,4,4,4,4,4,4,1,1,1,1,0,2,0,4,3,4,4,4,3,4,2,2,4,1,3,1,3,1,3,1,2,1,3,1,2,1,2,1,2,1,3,96,3,1,1,2,1,2,0,2,0,1,1,2,1,1,0,0,1,3,0,1,1,1,1,2,1,1,0,2,2,2,3,2,0,1,1,0,1,1,1,3,1,0
4,1,1,2,4,4,4,4,4,4,3,2,3,0,1,1,1,0,0,0,4,4,3,3,4,4,4,2,4,3,1,3,1,2,1,3,1,3,1,3,1,2,1,2,1,4,1,3,96,3,2,2,1,1,1,0,2,1,1,1,2,1,1,2,1,1,2,1,3,1,2,1,0,0,1,1,2,2,1,2,2,1,2,1,0,2,2,0,3,3,1
10,1,1,3,4,4,4,4,4,4,3,2,3,1,1,1,1,0,0,2,4,3,4,3,3,3,4,3,3,3,1,2,1,3,1,3,1,2,1,3,1,1,1,4,1,3,1,3,97,3,1,1,3,1,1,2,1,0,2,1,2,2,2,1,1,1,3,1,1,3,1,2,1,2,0,0,1,2,1,1,1,2,1,0,2,1,1,0,2,1,1
10,1,0,3,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,3,4,4,4,4,4,4,4,4,4,1,2,1,2,1,4,1,2,1,3,1,1,1,4,1,4,1,2,97,3,2,2,1,0,3,1,0,1,0,2,3,0,1,1,2,1,0,0,1,1,2,2,1,1,1,1,2,0,0,1,2,1,2,0,1,1,1,1,2,0,0
8,1,1,3,4,4,4,4,4,4,4,3,2,0,1,1,1,0,0,2,4,4,4,3,3,3,4,3,3,3,1,3,1,3,1,4,1,1,1,2,1,1,1,4,1,4,0,1,97,3,1,1,1,0,1,1,0,2,1,1,2,1,1,1,2,1,1,1,3,1,2,1,0,1,1,1,3,1,0,3,3,2,2,1,0,2,1,1,3,2,1
2,1,1,2,2,4,3,4,4,4,1,1,2,1,0,0,0,0,0,0,3,4,4,3,3,1,3,2,3,2,1,3,1,2,1,4,1,2,1,2,1,1,0,0,0,3,1,1,74,2,1,2,0,0,2,1,0,3,0,2,3,0,0,0,3,3,1,0,3,2,2,3,1,0,0,3,2,1,1,2,2,0,3,0,0,3,2,2,3,1,1
